Station ID,Station POI,Source,Latitude,Longitude,Status
"165757","Lahore DHA Phase 3","Davis",31.47159,74.38583,"Active"
"127500","Bahria Enclave, Islamabad","Davis",33.69184,73.20509,"Active"
"128168","Swabi City","Davis",34.12811,72.47264,"Inactive"
"128522","Ladian, Chakri","Davis",33.40371,72.87792,"Active"
"IISLAMAB22","Banigala WU","WU",33.71966,73.18169,"Inactive"
"IISLAM13","Quaid e Azam University WU","WU",33.74756,73.13332,"Inactive"
"IISLAM9","G-15 WU","WU",33.63282,72.91973,"Disabled"
"221884","Hiran Minar Toll Plaza","WU",31.75926,73.95674,"Active"
"IPUNJA24","Bassali village WU","WU",33.41003,73.15007,"Inactive"
"IISLAM1","Shah House F-10/2 Islamabad","WU",33.69134,73,"Disabled"
"IPUNJA22","Miana Thub, Zone 5, ISB","WU",33.56117,73.25117,"Inactive"
"IRAWAL3","Zaraj, ISB","WU",33.52118,73.16118,"Disabled"
"IISLAMAB7","F-11/2 ISLAMABAD WU","WU",33.68296,72.97901,"Disabled"
"IISLAM11","E-11 ISLAMABAD","WU",33.70119,72.98119,"Disabled"
"IPUNJABR2","WESTRIDGE-I Pindi","WU",33.6112,73.0312,"Inactive"
"IRAWAL18","Bahria Town Phase 8, Rawalpindi WU","WU",33.50251,73.06302,"Disabled"
"IRAWAL29","CHAKLALA SCHEME 3, RWP","WU",33.58122,73.09122,"Inactive"
"IRAWAL16","Gulshanabad, Rawalpindi","WU",33.53122,73.06122,"Inactive"
"INUSHK12","Nushki","WU",29.55,66.02,"Disabled"
"IFEDERAL8","Bahria Town - Ph.2, RWP","WU",33.55124,73.12124,"Inactive"
"IKMILPUR2","Waisa Chach Valley","WU",33.92178,72.41051,"Inactive"
"IKHYBERP3","Shahbaz Garhi","WU",34.25126,72.19126,"Disabled"
"IKHYBE2","DANDAO1 Takhtbai","WU",34.29127,71.85127,"Disabled"
"ILAHOR14","Lahore Cantt, WU","WU",31.48873,74.38728,"Inactive"
"I90582126","Kot Rada Kishan","WU",31.15129,74.13129,"Inactive"
"I90582706","Bilal Farms (8/P), Khanpur Dist RYK","WU",28.5713,70.0713,"Inactive"
